No,year,month,day,hour,season,PM_Jingan,PM_US Post,PM_Xuhui,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,aaaa
51799,2015,11,29,6,3,78,79,90,8,93.45,1026,9,SW,1,NA,NA,bbbb
51800,2015,11,29,7,3,78,68,83,8,93.45,1026,9,NW,1,NA,NA,bbbb
51801,2015,11,29,8,3,79,76,83,8,93.45,1026,9,cv,0,0.3,0.3,bbbb
51802,2015,11,29,9,3,78,80,83,9,93.5,1027,10,SW,2,NA,NA,bbbb
51803,2015,11,29,10,3,61,62,66,9,93.5,1026,10,SE,2,NA,NA,bbbb
51804,2015,11,29,11,3,56,48,62,10,93.55,1026,11,SW,2,0,0,bbbb
51805,2015,11,29,12,3,61,57,67,10,93.55,1026,11,SW,4,NA,NA,bbbb
51806,2015,11,29,13,3,75,60,70,10,93.55,1025,11,NW,2,0,0,bbbb
51807,2015,11,29,14,3,69,50,78,10,93.55,1024,11,SW,2,0,0,bbbb
51808,2015,11,29,15,3,67,52,72,10,87.57,1024,12,SW,4,NA,NA,bbbb
51809,2015,11,29,16,3,60,60,65,10,87.57,1024,12,SW,6,NA,NA,bbbb
51810,2015,11,29,17,3,70,68,70,10,87.57,1025,12,cv,1,NA,NA,bbbb
51811,2015,11,29,18,3,91,83,74,10,93.55,1025,11,NW,2,NA,NA,bbbb
51812,2015,11,29,19,3,101,93,93,9,87.47,1025,11,NW,4,NA,NA,bbbb
51813,2015,11,29,20,3,104,103,111,9,93.5,1025,10,SW,1,NA,NA,bbbb
51814,2015,11,29,21,3,103,100,118,8,93.45,1026,9,SW,2,NA,NA,bbbb
51815,2015,11,29,22,3,108,98,120,8,100,1026,8,SW,3,NA,NA,bbbb
51816,2015,11,29,23,3,111,94,122,8,100,1026,8,cv,0,NA,NA,bbbb
51817,2015,11,30,0,3,110,88,121,8,100,1026,8,SW,1,NA,NA,bbbb
51818,2015,11,30,1,3,108,94,106,7,93.4,1025,8,SW,2,0,0,bbbb
51819,2015,11,30,2,3,101,96,91,8,100,1025,8,cv,0,0,0,bbbb
51820,2015,11,30,3,3,84,93,79,8,100,1025,8,SW,1,NA,NA,bbbb
51821,2015,11,30,4,3,77,77,60,7,100,1025,7,cv,0,NA,NA,bbbb
51822,2015,11,30,5,3,76,73,59,7,100,1025,7,cv,0,NA,NA,bbbb
51823,2015,11,30,6,3,73,72,68,7,100,1025,7,NE,2,NA,NA,bbbb
51824,2015,11,30,7,3,72,69,78,7,100,1025,7,NE,3,0,0,bbbb
51825,2015,11,30,8,3,84,81,82,8,93.45,1026,9,NE,5,NA,NA,bbbb
51826,2015,11,30,9,3,99,94,92,10,100,1026,10,NE,7,0,0,bbbb
51827,2015,11,30,10,3,132,131,118,11,93.6,1026,12,NE,9,0,0,bbbb
51828,2015,11,30,11,3,165,144,145,11,82.14,1025,14,cv,1,0,0,bbbb
51829,2015,11,30,12,3,182,151,162,10,72.04,1025,15,cv,2,0,0,bbbb
51830,2015,11,30,13,3,189,130,158,10,67.57,1024,16,cv,3,0,0,bbbb
51831,2015,11,30,14,3,176,130,140,9,59.29,1023,17,cv,4,0,0,bbbb
51832,2015,11,30,15,3,154,134,156,9,63.18,1023,16,NE,3,0,0,bbbb
51833,2015,11,30,16,3,174,156,174,8,59.04,1023,16,NE,5,0,0,bbbb
51834,2015,11,30,17,3,177,187,196,8,62.95,1023,15,NE,8,NA,NA,bbbb
51835,2015,11,30,18,3,196,168,199,9,67.36,1023,15,NE,11,0,0,bbbb
51836,2015,11,30,19,3,177,143,166,9,71.85,1023,14,NE,15,0,0,bbbb
51837,2015,11,30,20,3,141,138,158,9,71.85,1024,14,NE,20,NA,NA,bbbb
51838,2015,11,30,21,3,129,130,154,10,82.01,1024,13,NE,23,NA,NA,bbbb
51839,2015,11,30,22,3,129,119,134,9,76.68,1024,13,NE,25,0,0,bbbb
51840,2015,11,30,23,3,114,100,113,9,81.88,1024,12,NE,26,NA,NA,bbbb
51841,2015,12,1,0,4,114,97,105,9,81.88,1024,12,cv,0,NA,NA,bbbb
51842,2015,12,1,1,4,106,88,101,9,87.47,1024,11,cv,1,NA,NA,bbbb
51843,2015,12,1,2,4,104,87,96,9,93.5,1024,10,NW,2,NA,NA,bbbb
51844,2015,12,1,3,4,96,82,91,8,93.45,1023,9,NE,2,0,0,bbbb
51845,2015,12,1,4,4,82,73,81,8,93.45,1023,9,NE,4,NA,NA,bbbb
51846,2015,12,1,5,4,74,67,71,8,93.45,1023,9,NE,5,0,0,bbbb
51847,2015,12,1,6,4,65,65,66,9,100,1023,9,NE,6,0,0,bbbb
51848,2015,12,1,7,4,66,60,57,9,93.5,1023,10,NE,8,0,0,bbbb
51849,2015,12,1,8,4,67,64,65,10,82.01,1023,13,NE,11,0,0,bbbb
51850,2015,12,1,9,4,62,61,61,11,77.01,1023,15,NE,16,0,0,bbbb
51851,2015,12,1,10,4,55,45,58,11,67.78,1023,17,NE,20,0,0,bbbb
51852,2015,12,1,11,4,47,42,43,10,63.41,1023,17,SE,5,0,0,bbbb
51853,2015,12,1,12,4,36,40,42,10,59.54,1022,18,SE,10,0,0,bbbb
51854,2015,12,1,13,4,34,41,34,10,59.54,1021,18,SE,15,0,0,bbbb
51855,2015,12,1,14,4,35,36,34,10,59.54,1020,18,SE,20,0,0,bbbb
51856,2015,12,1,15,4,31,33,30,10,59.54,1020,18,SE,26,NA,NA,bbbb
51857,2015,12,1,16,4,17,34,35,10,63.41,1020,17,SE,31,0,0,bbbb
51858,2015,12,1,17,4,19,45,37,11,67.78,1020,17,SE,36,NA,NA,bbbb
51859,2015,12,1,18,4,29,42,45,11,67.78,1020,17,SE,41,0,0,bbbb
51860,2015,12,1,19,4,37,43,45,11,72.23,1020,16,SE,46,0,0,bbbb
51861,2015,12,1,20,4,34,45,47,12,77.17,1020,16,SE,49,0,0,bbbb
51862,2015,12,1,21,4,37,43,42,12,77.17,1019,16,SE,53,0,0,bbbb
51863,2015,12,1,22,4,37,40,44,12,77.17,1019,16,SE,57,0,0,bbbb
51864,2015,12,1,23,4,40,39,46,12,82.27,1019,15,SE,60,NA,NA,bbbb
51865,2015,12,2,0,4,45,45,47,12,82.27,1019,15,SE,62,0,0,bbbb
51866,2015,12,2,1,4,47,47,42,13,87.84,1018,15,SE,65,NA,NA,bbbb
51867,2015,12,2,2,4,45,42,50,13,87.84,1018,15,SE,67,NA,NA,bbbb
51868,2015,12,2,3,4,48,45,51,13,87.84,1018,15,SE,68,NA,NA,bbbb
51869,2015,12,2,4,4,50,51,53,13,93.7,1018,14,SW,2,NA,NA,bbbb
51870,2015,12,2,5,4,55,54,53,13,87.84,1018,15,NW,3,NA,NA,bbbb
51871,2015,12,2,6,4,72,64,67,12,82.27,1018,15,NW,5,0.1,0.1,bbbb
51872,2015,12,2,7,4,80,69,73,13,93.7,1020,14,NW,8,0.8,0.9,bbbb
51873,2015,12,2,8,4,97,83,83,13,93.7,1021,14,NW,13,0.6,1.5,bbbb
51874,2015,12,2,9,4,88,81,90,13,93.7,1022,14,NW,18,0.8,2.3,bbbb
51875,2015,12,2,10,4,71,75,95,11,87.66,1022,13,NW,24,0.1,2.4,bbbb
51876,2015,12,2,11,4,78,75,85,10,82.01,1021,13,NW,30,0,0,bbbb
51877,2015,12,2,12,4,79,82,87,10,82.01,1020,13,NW,35,0,0,bbbb
51878,2015,12,2,13,4,87,82,90,9,71.85,1019,14,NW,41,0,0,bbbb
51879,2015,12,2,14,4,93,85,87,8,67.15,1019,14,NW,49,0,0,bbbb
51880,2015,12,2,15,4,101,98,96,8,76.52,1019,12,NW,58,0,0,bbbb
51881,2015,12,2,16,4,108,97,110,7,71.47,1020,12,NW,65,0,0,bbbb
51882,2015,12,2,17,4,108,101,108,6,66.71,1021,12,NW,71,0,0,bbbb
51883,2015,12,2,18,4,102,109,111,5,66.49,1022,11,NW,77,0,0,bbbb
51884,2015,12,2,19,4,116,115,124,5,66.49,1022,11,NW,82,0,0,bbbb
51885,2015,12,2,20,4,117,106,118,5,66.49,1023,11,NW,86,NA,NA,bbbb
51886,2015,12,2,21,4,90,66,99,2,57.51,1023,10,NW,91,0,0,bbbb
51887,2015,12,2,22,4,59,56,79,1,57.25,1024,9,NW,96,0,0,bbbb
51888,2015,12,2,23,4,54,62,75,-1,49.51,1024,9,NW,102,0,0,bbbb
51889,2015,12,3,0,4,53,63,71,-2,49.22,1025,8,NW,107,NA,NA,bbbb
51890,2015,12,3,1,4,58,64,62,-2,49.22,1025,8,NW,112,0,0,bbbb
51891,2015,12,3,2,4,58,61,69,-1,60.76,1024,6,NW,115,NA,NA,bbbb
51892,2015,12,3,3,4,56,61,62,-3,52.41,1024,6,NW,118,NA,NA,bbbb
51893,2015,12,3,4,4,60,67,69,-2,56.45,1024,6,NW,121,NA,NA,bbbb
51894,2015,12,3,5,4,61,65,76,-1,65.13,1024,5,SW,3,NA,NA,bbbb
51895,2015,12,3,6,4,68,71,75,-1,65.13,1025,5,SW,5,NA,NA,bbbb
51896,2015,12,3,7,4,70,74,74,0,70.06,1025,5,SW,7,0,0,bbbb
51897,2015,12,3,8,4,76,88,78,2,70.47,1025,7,SW,10,0,0,bbbb
51898,2015,12,3,9,4,79,79,86,2,61.51,1025,9,SW,14,0,0,bbbb
51899,2015,12,3,10,4,66,61,76,-1,43.31,1025,11,NW,6,0,0,bbbb
51900,2015,12,3,11,4,52,44,55,-2,37.66,1025,12,NW,13,0,0,bbbb
51901,2015,12,3,12,4,36,43,44,-6,26.11,1023,13,NW,22,0,0,bbbb
51902,2015,12,3,13,4,37,43,44,-5,28.18,1023,13,NW,32,0,0,bbbb
51903,2015,12,3,14,4,36,41,39,-4,30.39,1022,13,NW,40,0,0,bbbb
51904,2015,12,3,15,4,36,37,37,-7,24.18,1023,13,NW,49,0,0,bbbb
51905,2015,12,3,16,4,32,33,33,-7,25.82,1023,12,NW,56,0,0,bbbb
51906,2015,12,3,17,4,34,42,35,-7,27.58,1024,11,NW,63,0,0,bbbb
51907,2015,12,3,18,4,42,52,39,-7,29.48,1025,10,NW,69,0,0,bbbb
51908,2015,12,3,19,4,47,46,41,-6,34.05,1026,9,NW,74,0,0,bbbb
51909,2015,12,3,20,4,43,48,42,-4,42.4,1027,8,NW,79,0,0,bbbb
51910,2015,12,3,21,4,38,46,39,-5,42.1,1028,7,NW,84,0,0,bbbb
51911,2015,12,3,22,4,35,41,43,-5,45.1,1028,6,NW,89,0,0,bbbb
51912,2015,12,3,23,4,39,38,48,-5,45.1,1029,6,NW,93,0,0,bbbb
51913,2015,12,4,0,4,33,36,41,-5,48.34,1029,5,NW,97,0,0,bbbb
51914,2015,12,4,1,4,31,38,39,-5,48.34,1029,5,NW,102,0,0,bbbb
51915,2015,12,4,2,4,35,38,40,-6,48.04,1029,4,NW,106,0,0,bbbb
51916,2015,12,4,3,4,32,40,35,-5,51.84,1029,4,NW,110,0,0,bbbb
51917,2015,12,4,4,4,30,40,42,-6,48.04,1029,4,NW,115,0,0,bbbb
51918,2015,12,4,5,4,33,38,44,-7,44.49,1029,4,NW,118,0,0,bbbb
51919,2015,12,4,6,4,35,41,40,-7,44.49,1030,4,NW,122,0,0,bbbb
51920,2015,12,4,7,4,31,42,44,-7,44.49,1030,4,NW,126,0,0,bbbb
51921,2015,12,4,8,4,40,49,38,-7,41.48,1031,5,NW,130,0,0,bbbb
51922,2015,12,4,9,4,44,45,43,-7,38.7,1032,6,NW,135,0,0,bbbb
51923,2015,12,4,10,4,44,46,38,-8,33.43,1032,7,NW,139,0,0,bbbb
51924,2015,12,4,11,4,46,48,43,-7,33.74,1031,8,NW,143,0,0,bbbb
51925,2015,12,4,12,4,44,44,35,-8,27.29,1030,10,NW,148,0,0,bbbb
51926,2015,12,4,13,4,42,40,43,-8,27.29,1029,10,NW,153,0,0,bbbb
51927,2015,12,4,14,4,37,44,45,-7,29.48,1029,10,NW,159,0,0,bbbb
51928,2015,12,4,15,4,51,50,49,-8,27.29,1029,10,NW,163,0,0,bbbb
51929,2015,12,4,16,4,46,53,50,-7,31.53,1029,9,NW,167,0,0,bbbb
51930,2015,12,4,17,4,48,52,47,-7,33.74,1029,8,NW,170,NA,NA,bbbb
51931,2015,12,4,18,4,52,61,54,-7,33.74,1029,8,NW,172,NA,NA,bbbb
51932,2015,12,4,19,4,62,65,68,-4,45.4,1030,7,SW,3,NA,NA,bbbb
51933,2015,12,4,20,4,71,74,73,-3,52.41,1029,6,SW,5,NA,NA,bbbb
51934,2015,12,4,21,4,74,74,78,-3,52.41,1029,6,cv,0,NA,NA,bbbb
51935,2015,12,4,22,4,78,78,76,-3,52.41,1029,6,cv,0,NA,NA,bbbb
51936,2015,12,4,23,4,80,76,72,-2,56.45,1029,6,cv,0,NA,NA,bbbb
51937,2015,12,5,0,4,78,77,83,-1,60.76,1028,6,cv,0,NA,NA,bbbb
51938,2015,12,5,1,4,76,76,88,0,65.36,1028,6,SW,1,NA,NA,bbbb
51939,2015,12,5,2,4,77,75,84,1,70.27,1028,6,cv,0,NA,NA,bbbb
51940,2015,12,5,3,4,77,71,81,1,70.27,1028,6,SW,1,NA,NA,bbbb
51941,2015,12,5,4,4,78,69,84,1,70.27,1028,6,cv,0,NA,NA,bbbb
51942,2015,12,5,5,4,79,74,87,1,65.59,1027,7,SE,1,NA,NA,bbbb
51943,2015,12,5,6,4,74,73,83,0,61.01,1028,7,cv,0,NA,NA,bbbb
51944,2015,12,5,7,4,64,71,76,0,61.01,1028,7,SW,1,NA,NA,bbbb
51945,2015,12,5,8,4,62,71,76,0,56.99,1028,8,SW,2,NA,NA,bbbb
51946,2015,12,5,9,4,65,72,76,-3,45.7,1029,8,SE,2,0,0,bbbb
51947,2015,12,5,10,4,63,75,77,-4,39.63,1029,9,SW,2,NA,NA,bbbb
51948,2015,12,5,11,4,60,46,64,-4,39.63,1029,9,SW,4,0,0,bbbb
51949,2015,12,5,12,4,40,42,40,0,61.01,1028,7,SW,7,0.3,0.3,bbbb
51950,2015,12,5,13,4,39,43,41,2,75.49,1028,6,SW,11,0,0,bbbb
51951,2015,12,5,14,4,42,49,42,2,80.92,1028,5,NW,3,0.1,0.1,bbbb
51952,2015,12,5,15,4,50,56,46,2,86.79,1028,4,NE,2,NA,NA,bbbb
51953,2015,12,5,16,4,52,61,54,2,86.79,1029,4,NE,4,1.6,1.6,bbbb
51954,2015,12,5,17,4,59,66,60,3,93.19,1029,4,NE,7,NA,NA,bbbb
51955,2015,12,5,18,4,65,72,63,3,93.19,1029,4,NE,9,0.6,0.6,bbbb
51956,2015,12,5,19,4,69,74,75,3,93.19,1030,4,NE,12,0.9,1.5,bbbb
51957,2015,12,5,20,4,73,66,74,3,93.19,1031,4,NW,4,1,2.5,bbbb
51958,2015,12,5,21,4,69,67,70,2,86.79,1031,4,NE,3,0.7,3.2,bbbb
51959,2015,12,5,22,4,68,67,69,3,93.19,1031,4,NE,6,1.6,4.8,bbbb
51960,2015,12,5,23,4,65,63,66,2,93.13,1031,3,NW,3,1.6,6.4,bbbb
51961,2015,12,6,0,4,61,61,60,2,93.13,1030,3,NE,2,1.2,7.6,bbbb
51962,2015,12,6,1,4,63,66,63,2,93.13,1030,3,NW,2,0.9,8.5,bbbb
51963,2015,12,6,2,4,60,57,64,2,93.13,1029,3,NW,5,0.3,8.8,bbbb
51964,2015,12,6,3,4,58,63,67,2,93.13,1029,3,NW,9,0,0,bbbb
51965,2015,12,6,4,4,59,62,65,3,100,1029,3,NW,12,0,0,bbbb
51966,2015,12,6,5,4,66,75,67,3,93.19,1029,4,NW,15,0,0,bbbb
51967,2015,12,6,6,4,78,76,74,3,93.19,1029,4,NW,18,NA,NA,bbbb
51968,2015,12,6,7,4,73,71,81,3,93.19,1030,4,NW,20,NA,NA,bbbb
51969,2015,12,6,8,4,71,69,86,4,93.24,1031,5,NW,22,NA,NA,bbbb
51970,2015,12,6,9,4,85,89,92,4,86.99,1031,6,NW,24,0,0,bbbb
51971,2015,12,6,10,4,97,101,97,4,86.99,1031,6,NW,27,NA,NA,bbbb
51972,2015,12,6,11,4,110,104,114,3,75.67,1030,7,NW,31,0,0,bbbb
51973,2015,12,6,12,4,114,113,115,3,70.67,1030,8,NW,36,0,0,bbbb
51974,2015,12,6,13,4,130,122,120,3,66.05,1029,9,NW,40,0,0,bbbb
51975,2015,12,6,14,4,137,130,133,3,66.05,1028,9,NW,44,0,0,bbbb
51976,2015,12,6,15,4,136,129,143,3,66.05,1028,9,NW,48,0,0,bbbb
51977,2015,12,6,16,4,125,116,138,3,66.05,1028,9,NW,51,NA,NA,bbbb
51978,2015,12,6,17,4,126,118,139,3,70.67,1029,8,NW,54,NA,NA,bbbb
51979,2015,12,6,18,4,134,124,146,3,70.67,1029,8,NW,57,NA,NA,bbbb
51980,2015,12,6,19,4,144,138,157,4,81.2,1030,7,SW,2,NA,NA,bbbb
51981,2015,12,6,20,4,143,146,164,3,75.67,1030,7,NW,2,0,0,bbbb
51982,2015,12,6,21,4,146,134,157,4,81.2,1030,7,NW,4,NA,NA,bbbb
